metrics,20/09/2022,27/09/2022,05/10/2022,11/10/2022,20/10/2022,26/10/2022,18/11/2022,08/12/2022,16/01/2023
seguidores ig,833,848,874,876,881,883,871,867,905
seguindo ig,505,505,515,443,450,432,434,425,385
postss ig,6,6,6,6,6,6,7,7,14
reels ig,7,7,7,7,7,7,8,8,14
seguidores tik,82,82,82,82,82,82,86,113,159
curtidas tik,162,161,161,163,163,163,240,391,588
videos tik,3,3,3,3,3,3,4,4,10
telegram (rem),404,414,416,419,421,417,424,424,420
inscritos youtube,31,39,41,42,43,44,57,63,68
videos youtube,5,5,5,5,5,5,8,8,8
